"Reference","Value","Footprint","QUANTITY","Datasheet"
"C101-C103,C201-C203,C301-C303,C401-C403,C501-C503,C601-C603","100p","Capacitor_SMD:C_1206_3216Metric","18","~"
"C104,C204,C304,C404,C504,C604","1n8 C0G","Capacitor_SMD:C_1206_3216Metric","6","~"
"C701","10n","Capacitor_SMD:C_1206_3216Metric","1","~"
"C901-C904","4u7/25V","Capacitor_SMD:C_1206_3216Metric","4","~"
"J1-J6","PZT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","6","~"
"J7","DIN-8","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","1","~"
"J8","PIZZ/ARCO","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","~"
"R101,R103,R201,R203,R301,R303,R401,R403,R501,R503,R601,R603","1k","Resistor_SMD:R_1206_3216Metric","12","~"
"R102,R202,R302,R402,R502,R602","3M3","Resistor_SMD:R_1206_3216Metric","6","~"
"R104-R106,R204-R206,R304-R306,R404-R406,R504-R506,R604-R606","47k 1%","Resistor_SMD:R_1206_3216Metric","18","~"
"R701","1M","Resistor_SMD:R_1206_3216Metric","1","~"
"R702","20k","Resistor_SMD:R_1206_3216Metric","1","~"
"U1-U3","OPA4191","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","3","https://www.ti.com/lit/ds/symlink/opa4191.pdf"
"U4,U5","CD4066B","Package_SO:SO-14_3.9x8.65mm_P1.27mm","2","https://www.ti.com/lit/ds/symlink/cd4066b.pdf"
