Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100p","C_1206_3216Metric",13.500000,-3.900000,0.000000,top
"C102","100p","C_1206_3216Metric",41.500000,-3.900000,0.000000,top
"C103","100p","C_1206_3216Metric",47.000000,-3.900000,0.000000,top
"C104","1n8 C0G","C_1206_3216Metric",47.000000,-9.400000,0.000000,top
"C201","100p","C_1206_3216Metric",13.500000,-24.100000,0.000000,top
"C202","100p","C_1206_3216Metric",41.500000,-24.100000,0.000000,top
"C203","100p","C_1206_3216Metric",47.000000,-24.100000,0.000000,top
"C204","1n8 C0G","C_1206_3216Metric",47.000000,-18.600000,0.000000,top
"C301","100p","C_1206_3216Metric",13.500000,-26.900000,0.000000,top
"C302","100p","C_1206_3216Metric",41.500000,-26.900000,0.000000,top
"C303","100p","C_1206_3216Metric",47.000000,-26.900000,0.000000,top
"C304","1n8 C0G","C_1206_3216Metric",47.000000,-32.400000,0.000000,top
"C401","100p","C_1206_3216Metric",13.500000,-47.100000,0.000000,top
"C402","100p","C_1206_3216Metric",41.500000,-47.100000,0.000000,top
"C403","100p","C_1206_3216Metric",47.000000,-47.100000,0.000000,top
"C404","1n8 C0G","C_1206_3216Metric",47.000000,-41.600000,0.000000,top
"C501","100p","C_1206_3216Metric",13.500000,-49.900000,0.000000,top
"C502","100p","C_1206_3216Metric",41.500000,-49.900000,0.000000,top
"C503","100p","C_1206_3216Metric",47.000000,-49.900000,0.000000,top
"C504","1n8 C0G","C_1206_3216Metric",47.000000,-55.400000,0.000000,top
"C601","100p","C_1206_3216Metric",13.500000,-70.100000,0.000000,top
"C602","100p","C_1206_3216Metric",41.500000,-70.100000,0.000000,top
"C603","100p","C_1206_3216Metric",47.000000,-70.100000,0.000000,top
"C604","1n8 C0G","C_1206_3216Metric",47.000000,-64.599999,0.000000,top
"C701","10n","C_1206_3216Metric",62.000000,-44.000000,0.000000,top
"C901","4u7/25V","C_1206_3216Metric",73.500000,-8.000000,0.000000,top
"C902","4u7/25V","C_1206_3216Metric",73.500000,-12.000000,0.000000,top
"C903","4u7/25V","C_1206_3216Metric",73.500000,-62.000000,0.000000,top
